id,dimension,priority,status,artifacts,tests,evidence,note,in_remediation_scope
INV-38-C075,Observability & Explainability,P1,DONE,observability/diagnostics.md;observability/redaction-policy.yaml;logging_schema.py,tests/test_logging.py,cross-tenant/secret-leak tests,Redaction policy + bounded diagnostics + adversarial tests.,True
INV-38-C076,Observability & Explainability,P1,DONE,observability/decision-record.schema.json;observability/reason-codes.yaml;decisions.py,tests/test_decisions.py,no fallback/reject without decision record,Decision records: every branch has a reason code (tested).,True
INV-38-C077,Observability & Explainability,P1,DONE,ops/explain-view.md;tools/inv38-explain,tests/test_decisions.py,golden incident fixtures,Operator explain view (human+machine) with golden fixtures.,True
INV-38-C078,Observability & Explainability,P1,IN_PROGRESS,observability/lineage-correlation.md;observability/resource-identity.schema.json,tests/test_artifacts_present.py,resource-identity schema validated,Live infra-graph correlation needs the graph service.,True
INV-38-C079,Observability & Explainability,P1,DONE,observability/telemetry-policy.md;observability/retention.yaml;telemetry_policy.py,tests/test_telemetry_policy.py,security events never sampled (tested),Telemetry retention/sampling/export policy + conformance test.,True
INV-38-C080,Observability & Explainability,P1,IN_PROGRESS,observability/dashboards/inv38-overview.json;observability/alerts/inv38-alerts.yaml,tests/test_alerts.py,alert-rule schema + zero-budget page rule,Dashboards/alerts validated against synthetic incidents; live wiring pending.,True
INV-38-C081,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C082,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C083,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C084,Testing & Certification,P0,BLOCKED,compatibility/test-matrix.yaml;tests/compatibility/README.md;tests/compatibility/test_reference_row.py,tests/compatibility/test_reference_row.py,reference row only; hw rows unsupported-until-qualified,Real CPU/hypervisor/provider/NIC rows require that hardware.,True
INV-38-C085,Testing & Certification,P0,DONE,tests/fuzz/README.md;tests/fuzz/fuzz_transport.py;tests/fuzz/corpus/,tests/fuzz/fuzz_transport.py,structure-aware fuzz + regression corpus,Property/fuzz harness over schema + address arithmetic runs in CI.,True
INV-38-C086,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C087,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C088,Testing & Certification,P0,BLOCKED,tests/performance/README.md;tests/soak/README.md;tests/fleet/README.md;tests/soak/test_model_soak.py,tests/soak/test_model_soak.py,model soak (leak/counter) only,Soak/fleet at scale requires hardware + multi-node fleet.,True
INV-38-C089,Testing & Certification,P0,IN_PROGRESS,tests/disaster/README.md;tests/partition/README.md;tests/reconnect/README.md;tests/disaster/test_model_faults.py,tests/disaster/test_model_faults.py,model crash/stale-key/fencing faults,Real partition/device-reset needs hardware; model faults tested.,True
INV-38-C090,Testing & Certification,P0,IN_PROGRESS,release/acceptance.schema.json;release/PK_ACCEPTANCE.json;release/attestations/;release_gate.py,tests/test_release_gate.py,gate rejects tampered/expired/skip-as-pass,Acceptance builder+gate+tamper tests DONE; full certification CONDITIONAL_GO (pk_core/hw evidence absent).,True
INV-38-C091,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C092,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C093,"Operations, Release & Governance",P1,IN_PROGRESS,compatibility/SUPPORTED_VERSIONS.md;compatibility/supported-versions.yaml;version_support.py,tests/test_version_support.py,preflight rejects unsupported combo (model),Rows for real backend stacks pending qualification.,True
INV-38-C094,"Operations, Release & Governance",P1,DONE,SECURITY.md;docs/PATCH_AND_EOL_POLICY.md,tests/test_artifacts_present.py,policy documents present + linked,SECURITY.md + patch/EOL policy authored; tabletop template included.,True
INV-38-C095,"Operations, Release & Governance",P1,IN_PROGRESS,ops/state-reconstruction.md;ops/migration.md;tests/recovery/test_reconstruction.py,tests/recovery/test_reconstruction.py,empty-node reconstruction (model),Device-replacement rebuild needs hardware; reconstruction logic tested.,True
INV-38-C096,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
INV-38-C097,"Operations, Release & Governance",P1,DONE,ops/INCIDENT_RESPONSE.md;ops/severity.yaml;ops/runbooks/,tests/test_severity.py,severity schema validated,Incident response + severity + runbooks authored.,True
INV-38-C098,"Operations, Release & Governance",P1,DONE,governance/review-schedule.yaml;governance/review-records/README.md;governance_checks.py,tests/test_governance_checks.py,overdue-review blocks release (tested),Review schedule + governance CI check for overdue reviews.,True
INV-38-C099,"Operations, Release & Governance",P1,DONE,governance/waivers.schema.json;governance/WAIVERS.json;governance/TECH_DEBT.md;governance_checks.py,tests/test_governance_checks.py,expired/unapproved waiver blocks release,Waiver/tech-debt register + validator (dup/expiry/dangling).,True
INV-38-C100,-,-,PRESENT,,,,Not in the 50 MISSING items; satisfied per prior audit.,False
